2026-03-25 11:54:11 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 11:54:11 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 11:58:10 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: (sqlite3.OperationalError) attempt to write a readonly database
[SQL: INSERT INTO reminders (title, content, reminder_time, is_completed, completed_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?)]
[parameters: ('水温检查', '检查养殖区水温是否正常', '2026-03-25 14:00:00.000000', 0, None, '2026-03-25 11:58:10.348599', '2026-03-25 11:58:10.348611')]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 11:58:10 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: (sqlite3.OperationalError) attempt to write a readonly database
[SQL: INSERT INTO reminders (title, content, reminder_time, is_completed, completed_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?)]
[parameters: ('投喂时间', '下午投喂鱼饲料', '2026-03-25 16:00:00.000000', 0, None, '2026-03-25 11:58:10.372321', '2026-03-25 11:58:10.372330')]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 12:02:23 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: 'max' is not among the defined enum values. Enum name: alarmlevel. Possible values: REMIND, WARNING, DANGER
2026-03-25 12:02:23 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: can't subtract offset-naive and offset-aware datetimes
2026-03-25 12:02:54 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: (sqlite3.OperationalError) attempt to write a readonly database
[SQL: UPDATE alarm_records SET is_resolved=?, resolved_at=? WHERE alarm_records.id = ?]
[parameters: (1, '2026-03-25 12:02:54.894038', 1)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-03-25 12:03:35 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: can't subtract offset-naive and offset-aware datetimes
2026-03-25 12:08:20 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 12:08:20 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 12:08:20 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 12:08:20 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 12:08:21 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 12:08:21 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 12:08:21 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 12:08:21 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 12:08:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 12:08:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 12:08:25 | INFO | app.main:lifespan:57 | 正在关闭应用
